customer_id,email,country_code,age,revenue_eur
0,user0@example.com,AT,999,790.75
1,user1@example.com,XX,999,632.3
2,user2@example.com,DE,999,-50.0
3,user3@example.com,XX,77,-50.0
4,user4@example.com,CH,47,69.29
5,user5@example.com,XX,67,1723.45
6,user6@example.com,XX,62,1541.5
7,user7@example.com,XX,21,670.7
8,user8@example.com,,22,1835.63
9,invalid_mail,DE,45,-50.0
10,user10@example.com,CH,999,1726.62
11,user11@example.com,XX,-1,-50.0
12,user12@example.com,XX,999,1030.34
13,user13@example.com,CH,-1,-50.0
14,user14@example.com,DE,37,1689.9
15,user15@example.com,XX,999,1313.44
16,user16@example.com,XX,-1,1730.25
17,user17@example.com,CH,-1,278.49
18,user18@example.com,DE,47,-50.0
19,user19@example.com,XX,999,911.65
20,user20@example.com,CH,60,-50.0
21,user21@example.com,XX,-1,-50.0
22,user22@example.com,AT,-1,-50.0
23,user23@example.com,XX,-1,1768.81
24,user24@example.com,DE,999,267.91
25,user25@example.com,CH,-1,555.44
26,user26@example.com,CH,999,1718.25
27,user27@example.com,DE,-1,1535.39
28,user28@example.com,AT,24,-50.0
29,user29@example.com,CH,-1,-50.0
30,user30@example.com,XX,-1,13.35
30,user31@example.com,AT,32,-50.0
32,user32@example.com,AT,999,-50.0
33,user33@example.com,XX,999,-50.0
34,user34@example.com,CH,-1,1670.35
35,user35@example.com,AT,999,104.56
36,user36@example.com,AT,-1,-50.0
37,user37@example.com,CH,999,-50.0
38,user38@example.com,AT,-1,147.17
39,user39@example.com,CH,999,380.48
40,user40@example.com,CH,-1,-50.0
41,user41@example.com,AT,-1,-50.0
42,user42@example.com,CH,59,682.24
43,user43@example.com,CH,999,823.11
44,user44@example.com,CH,999,1086.55
45,user45@example.com,XX,-1,1503.51
46,user46@example.com,AT,999,1813.7
47,user47@example.com,DE,18,-50.0
48,user48@example.com,AT,-1,151.83
48,user49@example.com,XX,55,-50.0
50,user50@example.com,DE,21,-50.0
51,user51@example.com,AT,999,-50.0
52,user52@example.com,DE,-1,-50.0
53,user53@example.com,XX,-1,811.2
54,user54@example.com,XX,69,856.86
55,user55@example.com,CH,999,-50.0
56,user56@example.com,XX,-1,1091.31
57,user57@example.com,CH,-1,1821.22
